,0
3738,"At least two people are dead in Louisiana after extreme overnight weather, authorities say. A level 3 severe weather threat has been issued for parts of the Gulf Coast.
https://t.co/h3m7fO3qHF"
3739,"Six people were injured Friday night when people in two vehicles shot at each other on a Texas freeway, police say
https://t.co/mmzvtFL49W"
3740,"Nearly 40% of US Marines are declining Covid-19 vaccinations, according to data provided to CNN by the service, the first branch to disclose service-wide numbers on acceptance and declination
https://t.co/wKFOxQ1faK"
3741,"The House Ethics Committee is investigating Florida Rep. Matt Gaetz, who faces a federal investigation into whether he violated sex trafficking laws
https://t.co/ocw6IhWcO4"
3742,"Rapper DMX, who sealed his success with the single ""Ruff Ryders Anthem,"" has died at 50, his family says https://t.co/mrSI09ScLL"
3743,"A volcano erupts on the Caribbean island of St. Vincent, sending ash plumes up to 20,000 feet into the air https://t.co/NJvmuQTo6i"
3744,"Amazon workers at an Alabama warehouse have resoundingly rejected a push to form the company's first US-based union, according to an ongoing tally of the vote https://t.co/aDVEGBCV2L"
3745,"Boeing announces a new problem with its troubled 737 Max jet, telling 16 airlines to halt flights to check on an electrical issue https://t.co/ZuGiWwhtDN"
3746,"Prince Philip, an extraordinary figure and husband to Queen Elizabeth for seven decades, is dead at 99, Buckingham Palace says https://t.co/4R8LwobU8o"
3747,"At least one person was killed and four others injured in a shooting at an industrial park in Bryan, Texas, police say
https://t.co/ohz8UJXRns"
3748,"Several people are injured in a shooting in Bryan, Texas, police say. The suspect is still at large. https://t.co/lcL6uyGLTx"
3749,"Matt Gaetz associate Joel Greenberg, a key figure in an ongoing federal probe of the congressman, is likely to strike a plea deal, attorneys say https://t.co/en5ySin5dO"
3750,"A former NFL player is suspected of killing five, including a prominent doctor and his grandchildren, in a South Carolina shooting
https://t.co/sOCxgKWJZW"
3751,"President Biden takes his first steps on gun control, ordering tightened regulations on ""ghost guns"" and pistol braces https://t.co/FBfg18w7Ev"
3752,Washington Gov. Jay Inslee signs bill that will automatically restore the voting rights of people convicted of a felony once they are released from prison https://t.co/8K57ywLxZ2
3753,"Georgia state Rep. Park Cannon, who was arrested last month while protesting the state's controversial election law, will not be charged, her lawyer says https://t.co/QAq78pA0J0"
3754,"Tiger Woods' SUV crash was caused by speed and an inability to negotiate a curve, the LA County sheriff's office says https://t.co/Q3LYswFkvi"
3755,"A UK coronavirus variant that's more contagious and associated with a higher risk of death is now the dominant strain in the US, CDC says
https://t.co/pnNmsSUj0g"
3756,The EU's top drug agency finds AstraZeneca's Covid-19 vaccine can cause rare blood clots but says its benefits still outweigh risks https://t.co/f9BGt1CEuW
3757,Arkansas becomes the first state to prohibit physicians from providing gender-affirming treatment for trans people under age 18 https://t.co/aCElBcUd8C https://t.co/XhchFvZzGX
3758,"California, the first state to implement a lockdown due to Covid-19, plans to fully reopen the state's activities and businesses on June 15. Follow live updates on the pandemic: https://t.co/OkvqFsgzas"
3759,"Democratic Rep. Alcee Hastings, the longest-serving member of Florida's congressional delegation, has died at 84
https://t.co/121SqH327s"
3760,George Floyd's friend who was in the car when they were confronted by police appears in court to determine if he will testify in Derek Chauvin's trial. Follow live updates: https://t.co/VM4DTBZQBa
3761,"Police responding to a shooting in Frederick, Maryland, say there are at least two victims and one suspect ""is down""  https://t.co/eIu0O01zNA"
3762,President Biden plans to announce he's moving the deadline for states to make all US adults eligible for the Covid vaccine forward to April 19 https://t.co/I1IT70o9gO
3763,"The collapse last month of US hedge fund Archegos Capital cost Credit Suisse nearly $4.7 billion and two of the bank's top executives their jobs, the bank announced https://t.co/sCqdNTn2u2"
3764,"Baylor beats Gonzaga 86-70 to win the men's NCAA basketball championship for the first time, handing the Bulldogs their only loss of the season https://t.co/ucnszBVjDz"
3765,"North Korea will drop out of the Tokyo Olympics because of concerns over coronavirus, state media says
https://t.co/FFbEktLQCX"
3766,"A coronavirus variant first spotted in the UK has been reported in all 50 US states. There are more than 15,000 US cases of the variant, more than 3,000 in Florida.
https://t.co/RdBZsBEEWe"
3767,"Arkansas Gov. Hutchinson vetoes an anti-transgender health care bill that would've prohibited physicians from providing gender-affirming ""procedures"" for trans people under age 18
https://t.co/ZSGjTIAiBo"
3768,"The US is administering Covid-19 vaccine doses at a pace that's nearly five times faster than the global average, a CNN analysis suggests
https://t.co/PSgKv9447u"
3769,"Janet Yellen calls for a global minimum corporate tax rate to ""stop the race to the bottom,"" in her first major speech as US Treasury secretary https://t.co/r35bv3LiUD"
3770,"A 4.0 magnitude earthquake has rattled the Lennox area of Los Angeles County, the US Geological Survey says. There are no immediate reports of damage. https://t.co/8e4mzQm4Tb"
3771,"Stanford beats Arizona, 54-53, winning its first NCAA women's basketball championship since 1992
https://t.co/rVpRIveGMi"
3772,"Flash floods unleashed by torrential rains killed at least 41 people on the Indonesian island of Flores, officials say. At least three more were reported killed in East Timor.
https://t.co/rjLKT2HLQ2"
3773,"A triple shooting in Virginia Beach, Virginia, left one person dead and two others injured Saturday night, police said
https://t.co/auqs4UNgMb"
3774,"Pope Francis condemns 'scandalous' armed conflicts around the world during his Easter Sunday mass
https://t.co/VO1X6E1rin"
3775,"One person is dead and two others are injured after an exchange of gunfire between gunmen and New York Police Department officers, the NYPD says https://t.co/B0f6GNCaap"
3776,Undefeated Gonzaga beats UCLA and will face Baylor in the NCAA men's basketball championship game https://t.co/a0qg37klvP
3777,"Rapper DMX is hospitalized and on life support, his longtime attorney says https://t.co/zdzCIkO46T"
3778,"A distant cousin of Jordan's King Abdullah and the former head of the royal court were arrested due to ""security reasons,"" according to state media Petra
https://t.co/lMuQW4NLUE"
3779,"Three people were killed and four others were injured in a shooting in Wilmington, North Carolina, police say https://t.co/NL9MNOYrAH"
3780,Colorado Gov. Jared Polis has signed an executive order extending the state mask mandate for the next 30 days https://t.co/P6gevhQ8zb
3781,President Biden has revoked a Trump executive order that authorized sanctions on International Criminal Court officials and lifted sanctions on two officials https://t.co/Q7a5BLLOQw
3782,One of the two officers who was injured in the attack near the US Capitol building has died https://t.co/fnH53ZtFm5
3783,"Suspect who injured Capitol Police officers and was brandishing a knife is dead, sources say. Follow updates from a 2:45 p.m. news conference: https://t.co/BfZPMkd60m"
3784,US Capitol Police says someone rammed a vehicle into two officers and a suspect is in custody. Follow live updates: https://t.co/XZfmujtjzz
3785,The US Capitol is on lockdown due to an external security threat https://t.co/0dNgTgIarg
3786,UPDATE: Authorities earlier said 51 people had died before revising the figure down to 50. https://t.co/zk4lSGVqcC
3787,"US employers added 916,000 jobs in March, the best monthly gain since August https://t.co/ssWgCzFsCw"
3788,"A train carrying 490 people derailed in a tunnel in easter Taiwan, killing at least 51. Reports say it may have hit a vehicle that slid down a slope.
https://t.co/DEA1siTtH4"
3789,North Dakota Governor Doug Burgum declared a statewide emergency as wildfires led to the evacuation of one small town in the state https://t.co/n3t7VKs8ie
3790,"A train carrying an estimated 350 people has derailed in a tunnel in eastern Taiwan, killing at least 36 people and injuring dozens more, according to local officials https://t.co/QnfNoSe4PQ"
3791,"Ontario has announced a province-wide ""emergency brake"" shutdown beginning this weekend as Canada's most populous province struggles to cope with a surge in ICU admissions https://t.co/cteyIe2tga"
3792,"The smell of burnt and unburnt marijuana alone is no longer cause for New York Police Department officers to search vehicles, according a new NYPD memorandum https://t.co/j1EEsQwFyU"
3793,"Police named the suspect in the mass shooting at a California business complex and said he knew the victims. Four people, including a 9-year-old, were killed. https://t.co/pFHTcOiulF"
3794,"Guns flew off store shelves after mass shootings last month, with the FBI reporting a record number of background checks for firearm purchases https://t.co/oQaa4ZXiMd"
3795,"College basketball coaching great Roy Williams is retiring after after 33 seasons as a head coach, the University of North Carolina says https://t.co/NyInP7fPmZ"
3796,"Ongoing trial of Pfizer/BioNTech's Covid-19 vaccine confirms its protection lasts at least six months after the second dose, the companies say https://t.co/WMt7GVB8oS https://t.co/cyEHK3224m"
3797,A Hong Kong court has convicted pro-democracy media tycoon Jimmy Lai and eight other prominent opposition activists over their roles in an unauthorized assembly at the height of the 2019 protests https://t.co/7RO7E53Nh6
3798,"Police found multiple victims, including fatalities, at an office complex in Orange, California, after responding to a call of shots fired https://t.co/6IE0DyHSZ4"
3799,Video played during Derek Chauvin's trial shows the ex-officer's reaction just after George Floyd was taken away in an ambulance https://t.co/ZpQe6m5tE4
3800,One of the first bystanders on the scene of George Floyd's arrest broke down during his testimony. The Derek Chauvin trial continues now. https://t.co/z2so4XgTtt
3801,"About 1 in 6 US residents are fully vaccinated against Covid-19, CDC data shows https://t.co/IysRvla0Ym"
3802,New York becomes the latest state to legalize recreational marijuana after Gov. Andrew Cuomo signs bill https://t.co/goQ4vBzyXb
3803,Russian opposition figure Alexey Navalny says he is going on a hunger strike to protest against prison officials' refusal to grant him access to proper medical care https://t.co/8Z67tq1wNz
3804,The cashier who suspected George Floyd gave him a fake $20 bill spoke as surveillance video of the exchange was played. His testimony in the Derek Chauvin trial continues. https://t.co/fJLZbZwv4e
3805,"Covid-19 was the third leading cause of US deaths in 2020, the CDC confirms in early data. It also reports on the groups hit hardest. https://t.co/nnnXThkMpo"
3806,Pfizer/BioNTech say clinical trial results show their Covid vaccine is 100% effective and well tolerated in youths aged 12 to 15 https://t.co/dxSBN0xqZa https://t.co/5k3RZmI5s5
3807,"G. Gordon Liddy, a former FBI agent who worked for the reelection committee for President Richard Nixon and an infamous figure in the Watergate scandal, has died at age 90, his son confirmed https://t.co/gLObVfyymY"
3808,"An official collapsed in the first half of the NCAA men's tournament game between Gonzaga and USC
https://t.co/rfpjh0gxmI"
3809,"Attorney General Merrick Garland has launched a 30-day ""expedited review"" to figure out how the Justice Department can ""deploy all the tools at its disposal"" to combat hate crimes across the country https://t.co/PergD1RVh3"
3810,"Coronavirus likely spread to people through an animal, not a lab, according to WHO report. The search for its origin is ongoing.
https://t.co/BsjpJZzhdN https://t.co/jdbLWfYjje"
3811,"Testimony resumes in the Derek Chauvin trial with a MMA fighter who says he witnessed Chauvin performing a ""blood choke"" on George Floyd prior to his death. Follow live updates:
https://t.co/VjTMVjjHIi https://t.co/KpVBCgmR3t"
3812,"Federal prosecutors add sex trafficking charges against Ghislaine Maxwell, alleging she groomed a 14-year-old girl for Jeffrey Epstein
https://t.co/J3OPM9CyV9"
3813,President Biden announces that 90% of adults will be eligible to get a Covid-19 vaccine within the next three weeks as well as have a vaccination site within five miles of where they live https://t.co/VdAwr916vA
3814,"GOP Sen. Thom Tillis, who won re-election in North Carolina last fall, says he will have surgery next week for prostate cancer
https://t.co/z63b9AKpfg https://t.co/2pqRG7ex0B"
3815,"During opening statements in Derek Chauvin's murder trial, prosecutors showed jurors a bystander video of the former officer kneeling on George Floyd's neck. Follow live updates: https://t.co/DKxpyabk92"
3816,"George Floyd's family and their attorneys knelt at the courthouse for 8 minutes 46 seconds to mark his death ahead of the start of Derek Chauvin's trial
https://t.co/S4k0NHznLD https://t.co/Aeuf9TfVVU"
3817,"The Ever Given, the massive container ship that has been stuck in the Suez Canal for almost a week, has been fully dislodged, officials say
https://t.co/PtHth9Mi9U https://t.co/ScTQYtd6tm"
3818,"Authorities have refloated the container ship that ran aground and blocked the Suez Canal last week, an Egyptian official claims
https://t.co/ZfNm190gmT"
3819,"Nashville declares a state of emergency after flash flooding overnight Saturday killed at least four people in the area
https://t.co/Y3v6AAKtql"
3820,"At least two people in the Nashville, Tennessee, area are dead after severe weather caused flash flooding late Saturday into early Sunday, police say
https://t.co/D9YsgYGOws https://t.co/iDGthKOv8M"
3821,"Trump White House coronavirus task force member Dr. Deborah Birx recalls a ""very uncomfortable"" phone call with the former President after she spoke about Covid's spread
https://t.co/AwEfTbM924 https://t.co/p4K5PiM5V7"
3822,"Top UN officials condemn Myanmar's junta a day after at least 114 people were killed during demonstrations against the military coup that overthrew the country's elected government
https://t.co/1t6TWQYeH9 https://t.co/q3BTCiv3Me"
3823,Trump's former chief of staff Mick Mulvaney calls his former boss' Capitol riot claims 'manifestly false' https://t.co/Z503CIUK8j
3824,"A tornado watch has been issued until 10 p.m. ET for portions of Alabama, Arkansas, Mississippi and Tennessee, just days after parts of the South were hit by tornadoes https://t.co/G29VPnTWkE"
3825,"Dozens of people are unaccounted for and thousands have fled a town in northern Mozambique after an attack by Islamist insurgents, according to human rights groups
https://t.co/qXSZxoPYKX"
3826,"At least 91 people were killed across Myanmar, according to independent Myanmar Now news outlet, as the military junta continues to crack down on peaceful protests 
https://t.co/CjO4xa1fJz"
3827,Efforts to dislodge the container ship stuck in the Suez Canal are underway as the backlog of ships grows https://t.co/MVoDK2rGrx
3828,Two people were killed and at least eight injured in Virginia Beach shooting incidents https://t.co/uv5kkg53UK
3829,Several people reported shot in Virginia Beach https://t.co/Mm9DbT1jJL
3830,"A Kansas man has been arrested and charged with murder in the death of a woman who was sexually assaulted and killed in 1979 in Colorado
https://t.co/N1qXatQ3jz"
3831,"Tennessee passes a transgender sports bill requiring students to prove their sex at birth in order to play in middle and high school sports
https://t.co/pHkYqYJEcz"
3832,"Beloved children's book author Beverly Cleary, who created Beezus and Ramona Quimby and numerous other characters, has died. She was 104.
https://t.co/YsmAoWfpA4"
3833,"Jacob Blake, the 29-year-old Black man who was shot seven times by a White police officer in Kenosha, Wisconsin, has sued the officer for excessive force in federal court, records show
https://t.co/DjvIM11XdH"
3834,"President Biden calls the voting law passed yesterday in Georgia a ""blatant attack on the Constitution""
https://t.co/6INO9ckhU3"
3835,"Speaker Nancy Pelosi appoints the first Black House sergeant-at-arms, DC National Guard Major Gen. William J. Walker
https://t.co/OPZP1vEaJc"
3836,At least 32 people are dead and 66 injured after trains collide in Egypt https://t.co/81yQ0fH9cs
3837,"Voting technology company Dominion files a $1.6 billion lawsuit against Fox News, claiming ""many lies"" in the 2020 election https://t.co/TgA9uazsGI"
3838,US government stops distribution of Eli Lilly Covid-19 antibody treatment due to spread of coronavirus variants https://t.co/1NyUmYUTAr
3839,The University of Southern California will pay a record-setting $1.1 billion to settle scores of lawsuits over the sexual abuse allegations against former campus gynecologist Dr. George Tyndall https://t.co/qmBLMmzBH0
3840,The number of people reported dead in the aftermath of winter storms that pummeled Texas in February now stands at 111 https://t.co/EP36IVRuM4
3841,Rutgers University is requiring students attending classes in person this fall to be vaccinated against Covid-19 https://t.co/dVNVfXBoft
3842,The GOP-controlled Georgia Senate has passed a sweeping bill that would restrict voting access. Gov. Brian Kemp will sign it tonight. https://t.co/ohCPgROLKu
3843,"The US will resume diplomatic ties with Palestinians that were cut under the Trump administration, the US ambassador to the United Nations says https://t.co/Ft9PfyLcpB"
3844,Los Angeles officials have moved ahead with the shut down of a homeless encampment in Echo Park following a night of confrontations between police and demonstrators https://t.co/ky9yKiU8xs
3845,"Jessica Walter, an award-winning actress beloved for her role in the television series ""Arrested Development,"" died Wednesday in her sleep at her home in New York City https://t.co/HgF72ypwDd"
3846,"President Biden will announce a new Covid vaccine goal of 200 million shots for people within his first 100 days in office, doubling his first goal
https://t.co/Ie5d5hkq9R"
3847,"AstraZeneca has updated its data on how well its coronavirus vaccine works, now saying it showed 76% efficacy against symptomatic disease https://t.co/xThmS1vvrH"
3848,The Pentagon has approved a request from the Department of Health and Human Services to temporarily house unaccompanied migrant children at two Texas military bases https://t.co/c4kfZDE99s
3849,"North Korea launched two ballistic missiles, a senior US official tells CNN. It's not known yet whether they were short, medium or long range. https://t.co/vhMFX1YDZ8"
3850,Atlanta police detain man who walked into a Publix Supermarket with five guns and body armor https://t.co/Zd3tQ6bTDb
3851,"The Senate has confirmed Dr. Rachel Levine as assistant health secretary at HHS, the first out transgender federal official confirmed by the chamber https://t.co/sn4lEyuqlE"
3852,"After centuries of carrying out executions, Virginia has now become the first Southern state — and 23rd overall — to abolish the death penalty https://t.co/telV837Yk2"
3853,"President Biden has announced the release of $81 billion in funding from the Covid-19 relief law for school reopening, part of the administration's efforts toward getting the majority of schools opened in his first 100 days in office https://t.co/o20do5PvbL"
3854,"President Biden is tasking Vice President Harris with overseeing efforts with Central American countries to stem the flow of migrants to the US southern border, senior administration officials say https://t.co/wDuephJnIl"
3855,"George Segal, the Oscar-nominated actor known for roles ranging from ""Who's Afraid of Virginia Woolf?"" to ""A Touch of Class,"" has died. He was 87. https://t.co/KhqvcdWjm4"
3856,"The Centers for Medicare &amp; Medicaid Services is extending the Affordable Care Act special enrollment period by three months to August 15, the Biden administration has announced https://t.co/dpvZAwV8mW"
3857,Authorities have closed Guatemala's international airport as volcanic ash blanketed planes and runways https://t.co/q68T6LaHal
3858,Virginia Gov. Ralph Northam has announced he is rolling back Covid-19 restrictions on indoor and outdoor gatherings starting on April 1 https://t.co/znT8TqclPr
3859,"President Biden makes a push for gun control legislation, including universal background checks and an assault weapons ban
https://t.co/s8wND7lNX9"
3860,A 21-year-old suspect is identified in the Colorado grocery store shooting. The victims ranged in age from 20 to 65. https://t.co/1ffKhwT2dg
3861,"One resident is dead and two firefighters injured following a fire at a residential assisted-living center in New York City's northern suburbs, a Rockland County fire official says https://t.co/IO6hfaFLSR"
3862,"One firefighter is missing, and some residents are unaccounted for in a fire at a residential senior center located in the northern suburbs of New York City, an official said Tuesday https://t.co/g00SSIF87D"
3863,"An independent board that reviews data from multiple Covid-19 vaccine candidates in the US has expressed concern over AstraZeneca’s announcements on its latest findings, according to a statement by the National Institute of Allergy and Infectious Diseases https://t.co/O4YlNuddMP"
3864,"Ten people were killed during the shooting at a Colorado grocery store and the suspect is in custody, officials say https://t.co/OZkxfecqcW"
3865,"Multiple people, including a police officer, were killed after a gunman opened fire at a Colorado grocery store
https://t.co/gjq3KPfbDt"
3866,"Video taken by an eyewitness to a Colorado supermarket shooting appears to show people lying on the ground inside and outside the store
https://t.co/ab0Op3aNVf"
3867,"The US Senate confirms Marty Walsh to be Labor secretary, elevating the former union boss to oversee the federal department in charge of workplace conditions, benefits and rights
https://t.co/4pYWLtlRJV"
3868,"White House advisers are preparing to present a $3 trillion jobs and infrastructure proposal to President Biden as soon as this week, sources say 
https://t.co/dBbwUK6xjq"
3869,"A massive fire has swept through a Rohingya refugee camp in Bangladesh, destroying shelters and endangering the lives of tens of thousands of refugees, a UN agency reports
https://t.co/k4DTgXxvgn"
3870,"The Supreme Court will review a ruling that wiped away the death sentence of Dzhokhar Tsarnaev, one of two brothers convicted in the 2013 Boston Marathon bombing https://t.co/QLz4eWLN1F"
3871,"AstraZeneca’s Covid-19 vaccine showed 79% efficacy against symptomatic disease, 100% efficacy against severe disease in US trial, company says https://t.co/5ts2rT6LxM"
3872,Turkey's lira is plunging against the US dollar Monday after President Recep Tayyip Erdogan abruptly fired the head of the country's central bank this weekend https://t.co/F7ppJI5Ko1
3873,"Eight people were stabbed during a fight that started Sunday morning in a Detroit hookah lounge. None of the injuries were fatal, police said.
https://t.co/lP0m6yTB2K"
3874,Democrats Troy Carter and Karen Carter Peterson will advance to a runoff in the special election for Louisiana's 2nd Congressional District https://t.co/SHsiJ5P64e
3875,"CNN projects Julia Letlow has won a Louisiana special election to fill the seat of her late husband, Luke Letlow, who died in December after being diagnosed with Covid-19. She will be the first GOP woman to represent the state. https://t.co/3dbbwBrwDO"
3876,"There are more than 5,000 unaccompanied children in Customs and Border Protection custody, according to documents obtained by CNN, up from 4,500 minors just days earlier https://t.co/HbExUS5UtX"
3877,"The Idaho Legislature went into recess for two weeks after at least 10 members and staff tested positive for coronavirus
https://t.co/k1wZuYhkn0"
3878,"Pakistan's Prime Minister Imran Khan has tested positive for Covid-19 and is ""self-isolating at home,"" the country's health minister says
https://t.co/0oXuZn45AB"
3879,"A tsunami warning issued after the earthquake off Japan's coast has been downgraded to a ""tsunami forecast"" of slight changes in sea level, a Japanese government website shows
https://t.co/QwOcuwPWz5"
3880,"International spectators will not be allowed into Japan for this summer's Olympics, the Tokyo 2020 Organizing Committee says
https://t.co/TIhNZu3MOS"
3881,"Turkey withdraws from an international treaty aimed at preventing violence against women. In 2011, Turkey had been the first country to sign the treaty, called the Istanbul Convention.
https://t.co/5x1bzKkb2G"
3882,"A tsunami warning has been issued after a 7.0 preliminary magnitude earthquake occurred off the coast of Japan
https://t.co/BNdAzor0dr"
3883,Iceland has reported a volcanic eruption on the south-west Reykjanes Peninsula https://t.co/SUg1izRC7W https://t.co/iJFezKjey2
3884,UK Prime Minister Boris Johnson has received the first dose of AstraZeneca’s coronavirus vaccine https://t.co/nB1RQCO6wz
3885,Updated CDC guidance says 3 feet is a safe distance to reduce the spread of Covid in schools. The best practices come with some exceptions. https://t.co/IXJk5BAuE1
3886,A judge rejects defense motions to delay and move Derek Chauvin's murder trial and rules to allow some evidence from George Floyd's 2019 arrest https://t.co/EnzMjPjQCl
3887,Atlanta police release the names of four more victims killed in Tuesday's string of spa shootings. Follow live updates on the investigation and community response: https://t.co/OE5AFP0AeK
3888,"The House has passed a second immigration bill, this one aimed at farm workers and their families. It faces a tough road in the Senate. https://t.co/Lcy8owygOC"
3889,"The House has passed a bill that could give a pathway to citizenship for young undocumented immigrants known as ""Dreamers"" https://t.co/wvQuXiRYwI"
3890,Captain Jay Baker is no longer the Cherokee County Sheriff's Office spokesperson in the case investigating the spa shooting after backlash over comments he made https://t.co/LWTaVmOg3h
3891,"President Biden has announced his administration is on track to hit 100 million Covid-19 vaccine doses administered on Friday, weeks ahead of his goal https://t.co/tw6ruDX6TB"
3892,Peloton is telling owners of its Tread+ to keep their children away from the machines after an accident in which a child died https://t.co/AFaJQJy6iM
3893,The Biden administration is finalizing plans to send millions of stockpiled doses of the AstraZeneca vaccine to Mexico and Canada https://t.co/erGMgSoGvJ
3894,The Senate narrowly confirms Xavier Becerra as Health and Human Services secretary. He becomes the first Latino to head the agency. https://t.co/SchpDTjwkM
3895,"An EU regulator finds the AstraZeneca Covid-19 vaccine is safe, but a link to rare blood clot cases can't be ruled out definitively https://t.co/rhxjf4yTjV"
3896,"First-time claims for jobless benefits increased to 770,000 last week, 70,000 more than economists had expected https://t.co/u97XUNQooa"
3897,"Coronavirus reinfections are relatively rare, but it's more common for people 65 and older to get infected more than once, according to a new study https://t.co/j2XAeu0Wvf"
3898,"Tanzania's President John Magufuli has died, his government says. He had not been seen publicly since February 27. https://t.co/qvuSKpanCO"
3899,"US intelligence agencies warn election fraud claims will likely spur more violence from domestic extremists, according to a new threat assessment summary https://t.co/zpi5fCIMJZ"
3900,"Investigators think the gunman accused of shooting and killing several people at three different spas in the Atlanta area Tuesday purchased the weapon he used this week, sources tell CNN https://t.co/4nmBZ9qivs"
3901,"The IRS plans to delay the US tax filing deadline to mid-May, giving more time to navigate situations complicated by the pandemic https://t.co/a3gtFqI7ay"
3902,The Federal Reserve left interest rates near zero and expects rate hikes can hold off until at least next year https://t.co/PNw4fhFqw1
3903,"Atlanta's police chief says it's too early in the investigation to determine whether the spa shootings that left eight dead are a hate crime
https://t.co/YJU8KYqZS5"
3904,"The House has passed a sweeping child abuse prevention bill, setting up deliberations in the Senate as experts and advocates raise alarm about unreported abuse during the pandemic https://t.co/RgAq1KIE2l"
3905,Police announced an increased death toll in the metro Atlanta spa shootings and said they had a suspect in custody https://t.co/UX7VqJIzj0
3906,"Investigators in the New York Attorney General's Office met with Lindsey Boylan, the first woman to publicly accuse New York Democratic Gov. Andrew Cuomo of sexual harassment, for more than three hours over the weekend, a source says https://t.co/JWp5cqvK5O"
3907,"Four more people were killed at two other spas in Atlanta, authorities say. Investigators are trying to determine whether the shootings are connected. https://t.co/yV7CLGAVqq"
3908,At least three people were killed and two were wounded after a shooting at a massage parlor in an Atlanta suburb https://t.co/bmGR83vgB4
3909,"Uber will reclassify drivers in the UK as workers – granting them a minimum wage, vacation pay and pensions – after losing a major legal battle https://t.co/h4rXaMDRHR"
3910,"Everyone 16 and older in Montana will be eligible for a Covid-19 vaccine starting April 1, the governor has announced https://t.co/OisIvxg3NV"
3911,"President Biden will hold his first formal news conference since taking office on March 25, the White House press secretary says https://t.co/BBmZ2Oyy8Q"
3912,"The Senate confirms Isabel Guzman to lead the Small Business Administration, giving her a key role in implementing the $1.9 trillion Covid relief bill https://t.co/1mmiuLq2U9"
3913,"A US intelligence report identifies Russian efforts aimed at ""denigrating"" Biden and helping Trump in the 2020 election https://t.co/SfpGbwdQlI"
3914,"After a month of treatment, Britain's Prince Philip has left the London facility where he was recovering from heart surgery https://t.co/GTUSDoudW9 https://t.co/AcbIO4buy3"
3915,"Deb Haaland is confirmed as Biden's Interior secretary, a historic move making her the first Native American Cabinet secretary 
https://t.co/yL4I7pPpSk"
3916,"At least three people are dead and six others seriously injured after a station wagon veered onto a San Diego sidewalk, officials say https://t.co/3Cy222cM3i"
3917,"This article has been corrected to reflect that the statement from the Vatican's Congregation for the Doctrine of the Faith did not refer to homosexuality itself as a ""sin"" and ""a choice."" A previous tweet has been deleted. https://t.co/kcLCpbxe69"
3918,"The Vatican said Monday that the Catholic Church would not bless same-sex unions, in a combative statement approved by Pope Francis that threatens to widen the chasm between the church and much of the LGBTQ community. https://t.co/kcLCpbxe69"
3919,"Two men are arrested and charged for assaulting US Capitol Police Officer Brian Sicknick, who died after responding to the January 6 riot
https://t.co/5sgyWXoHf5"
3920,Ex-officer Derek Chauvin's defense team requests a delay in his trial due to news of the city's $27 million settlement with George Floyd's family https://t.co/l1BQt8OXxr
3921,Oscar nominations are out and women fared well this year with a record 76 nods. See the list of picks in each category. https://t.co/DDfH8P4bTO
3922,"A trial got underway in Thailand for activists accused of sedition and insulting the powerful monarchy at a major protest last year, one of a series of mass demonstrations against the country's military-backed establishment https://t.co/1iz1turb6c"
3923,"Myanmar security forces killed at least 38 people Sunday in one of the deadliest days since the military seized power in a coup, and declared martial law in six areas after Chinese-funded factories were set on fire https://t.co/8d61EFirGr"
3924,"Beyoncé makes #Grammys history for the most wins ever by a female artist with 28 awards. She is now three wins away from the all-time record of 31, held by late conductor Georg Solti. https://t.co/2IgghVo1pN https://t.co/RRoRQaw4Uy"
3925,Billie Eilish's “Everything I Wanted” wins record of the year #Grammys https://t.co/MZiatxycfn https://t.co/ELZS6yQ0Vh
3926,Taylor Swift's “Folklore” wins album of the year #Grammys https://t.co/yuEAOYoyce https://t.co/LiXET1C4PO
3927,"""I Can't Breathe"" by H.E.R. wins song of the year at the #Grammys https://t.co/UJyuXz7t88 https://t.co/c7bYU6x0En"
3928,Megan Thee Stallion wins best new artist #Grammys https://t.co/YLYgjw3e3c https://t.co/wNPJ3lbCge
3929,"President Biden weighs in on NY Gov. Andrew Cuomo's sexual harassment allegations, saying he wants to see what comes of the investigation
https://t.co/xbURczRRF8"
3930,"New Orleans Saints quarterback Drew Brees announced his retirement from the NFL on Sunday via social media
https://t.co/UwNcYW23k8"
3931,"All Duke University undergraduate students have been ordered to stay in their dorms or apartments for a week as the school tries to combat a surge in Covid-19 cases 
https://t.co/6gbeYp8KiJ https://t.co/hb7IcbK0E4"
3932,"Ireland becomes the latest in the string of European countries who have decided to halt the rollout of the AstraZeneca Covid-19 vaccine following reports of patients developing blood clots after inoculations
https://t.co/Th3t7hdQ2s https://t.co/ivGBGwXCfh"
3933,"House Speaker Nancy Pelosi says women should be believed but stops short of calling for New York Gov. Andrew Cuomo's resignation amid sexual harassment allegations
https://t.co/aIRFANDlhi https://t.co/Ob59y5nvaa"
3934,"London's police chief faces calls to resign after officers forcibly break up a vigil for Sarah Everard, whose death sparked debate about women's safety https://t.co/Rxyst7KtrT https://t.co/HgNhenm5qm"
3935,"Former undisputed middleweight boxing champion ""Marvelous"" Marvin Hagler died at the age of 66, his wife says
https://t.co/DK05L4hggp"
3936,Former Bolivian interim President Jeanine Áñez has been arrested after warrants were issued against her and five ministers from her former cabinet https://t.co/pIdQEiouBo
3937,"The Biden administration started outreach to North Korea through multiple channels last month, but the country has been unresponsive, a senior administration official tells CNN https://t.co/RuNIps6fcR"
